,Sentence
6946,the least you could do is offer me a ticket in coach instead of just cancelled fighting my reservation because of your glitch _exclamation_ _exclamation_ _exclamation_  
6947,now on ith plane of the day first  all taken out of sec scheduled dep  i i still on ground ord 10:45pm 
6948,thank you _exclamation_ i can not wait either : 
6949,shows us their sense of humor with these tongue in cheek flight etiquette videos: 
6950,flight booking problems last second flight for next week from so to san any chance you want to gift me a promo code since i love you guys 
6951,gracias appreciate that _exclamation_  
6952,you guys need live chat 
6953,what can i say i am i our 
6954,don i see response _exclamation_  
6955,rocking the tim mcgraw hold music 
6956,flight to pal from all cancelled lighted   no flight available until   done with so 
6957,i want my money back now we are sitting on the runway after a  hour delay waiting for the baggage to begin loading 
6958,can y all develop ding for a chrome firebox browser extension _questionmark_ that would be swell 
6959,i will be calling tomorrow 
6960,what are the chances of my flight to ear from pit being cancelled lighted tomorrow _questionmark_  
6961,fantastic _exclamation_ thank you _exclamation_  
6962,left my computer on the plane two weeks late flight they found it and sent it to me 
6963,stranded at wi after two diversions no cust service no transport dumped here terrible customer service _exclamation_  
6964,ticket counter masters out of smo not very helpful 
6965,in miami and the agents rachel wong and marisol pimento were very pleasant in a world of chaos a big thank u 
6966,according to your des i am not owed a refund please may i be provided with a contact number before i go to my bank to file claim 
6967,stuck on the tarmac in cut because the our gate is not open hope i don i miss my connection 
6968,also can you explain why when i checked in on the us airways site amp picked standby for est i was not put on the list _questionmark_  
6969,even though this flight did not have much needed hot beverages  us ny ers the landing was super smooth :thumbs_up: :thumbs_up: :smiling_face_with_smiling_eyes: 
6970,i think you should board from the back of the plane 
6971,can you send a personal plane to get us out of school _questionmark_ it is icing and we don i want to get stuck here 
6972,no claim number haven i been back to iad baggage since is there a phone i can call to speak to someone _questionmark_  
6973, sitting on a freezing bus because nobody is in the plane what is up _questionmark_  
6974,your online site doesn i have flights listed in chronological order resulting in a mis purchase anything that can be done _questionmark_  
6975,not to mention the fact that my flight was delayed because your computers were down 
6976,no they were to busy taking to each other and i needed to get to an audition 
6977, he delay on flight to jak via tampa amp worst customer service in san juan airport this after app not working all day 
6978,hotspot free wifi makes me happy 
6979,i sent email to customer relations@aa com will this work _questionmark_  
6980,extra night we have to stay in san juan now how can i check on that _questionmark_  
6981,i did but it won i help can not believe you wouldn i take full fare for first class and gave away to platinum member profits _questionmark_  
6982,what happened to doom _questionmark_ _exclamation_  
6983,due to your expensive change fees either out of all the airlines we chose yours all do you could screw us stranded _exclamation_ _exclamation_ no help _exclamation_  
6984,oh no i am rebooked  hours after my original arrival time we can talk compensation 
6985,got another flight thanks you 
6986,yall have me sleeping in the airport until up tomorrow _exclamation_ thanks 
6987,thanks for info on super large passengers the extra seat my big needed was the one i was sitting in already 
6988,it still says that i can not check into my flight because the information is incorrect but everything is entered correctly 
6989,message sent thank you _exclamation_  
6990,and don i hope for me having a nicer flight some other time try to do things right you sold me those tickets with that connection 
6991, we are now going back to the gate i i of something overheating after sitting out here for  hours love united but this stinks 
6992,we tried with multiple people i already sat on the phone for an hour and a half and got nowhere 
6993,tried to enter that rapid rewards contest link on facebook but all my browsers kept popping up security warnings  it 
6994,it is not disappointment it is a blatant disregard for your business select customers it is becoming a problem that is pushing 
6995,been on hold way to long _exclamation_ is this the best level of service you can provide _questionmark_ one hour is too long _exclamation_  
6996, minutes waiting at the gate for the broken jetway different gate maybe _questionmark_  
6997,lao i love it 
6998,brian at so customer service deserves a raise gave me extra meal voucher and a good joke to cheer me up after flight delay 
6999,saddens me that my first tweet ever has to be a complaint about customer service 
7000,meant changed planes i hate seating over wing if u wanted i would have booked it u will get formal complaint 
7001,u say our safety is our highest priority but that doesn i extend  our property _questionmark_ this is totally nuts 
7002,your whole handling of this was a joke boston logan had one little old lady one handling all the customers 
7003,okie done _exclamation_ knowing you you will fix this 
7004,got back eventually _exclamation_ was a rollercoaster once i got to the airport amp got to speak to someone things got fixed very quick 
7005,the guidelines say  my bag is  ex  so it is a bit taller than the guidelines is that gonna be a problem _questionmark_  
7006,so i don i know confirmation number or the names of the flight attendants and supervisor 
7007,do you have mint service from ny to san diego _questionmark_  
7008,now it is just i minus  minutes until my elevate a silver upgrade window opens :grinning_face_with_big_eyes: :thumbs_up: 
7009,looks like you lost another customer when you stranded at cut she vows never to fly with you again 
7010,we hate delays _exclamation_ _exclamation_ have you tried any of these _questionmark_ _exclamation_ although we are not sure what a tidbit is 
7011,hi if a premium ec upgrade was paid for amp then a mileage of upgrade done is the prem eco upgrade fare refunded _questionmark_  
7012,omg thank u:smiling_cat_with_heart eyes: :smiling_cat_with_heart eyes: :smiling_cat_with_heart eyes: 
7013,app is the worst one for airlines can not do anything once your original flight time has gone by useless 
7014,exactly 
7015,if i miss saying goodbye to my friend cause of your crappy service i swear you will never hear the end of it 
7016,you mean 10:30pm i i be in vegas by now if i i been allowed on my original flight 
7017,i am genuinely surprised you all don i upgrade people when you cancelled flight their flights or at least put them in a comparable spot 
7018,we did for the last  hours your customer service is horrendous i should have flown delta 
7019,thanks to my trip is all screwed up ive had to move meetings and a dinner and im still not out of ny yet 
7020,anywhere warm cause its freezing in ny 
7021,yes luckily i was there 
7022,fliers to gain access to wse content 
7023,they are all pilots fa and ground personnel doing a great job weather is to blame who do i talk to about that : 
7024,bag mia since wednesday still no word where it is or if we all ever see it again 
7025,just submitted my response on the link you sent 
7026,when will ex use all  lga slots instead of  today _questionmark_ adding aus makes this less likely : 
7027,it is a shame the great customer service wasn i continued in so slightly absurd 
7028,thanks : good to be back safely see you again soon _exclamation_  
7029,do you know how to use twitter bro _questionmark_ your terminal looks like it is in bosnia here i another pic 
7030,is that the same reliable system couldn i find my info and then said it refund my credit card 
7031,thanks _exclamation_  
7032,the ball has been dropped my snowboard will not be making it to my destination 
7033,yes i have 
7034,i along with other passengers repeatedly asked southwest personnel what was taking so long where was our luggage 
7035,never flying with you guys ever again the customer service is piss poor at best 
7036,i want to speak to a human being _exclamation_ this is not an obscene request _exclamation_  
7037,thanks for getting us to paradise safely _exclamation_  
7038,i have been on hold for min just trying to change my reservation 
7039,made me remove  pound from my checked bag otherwise they would charge me  loyal flier for  years time for change 
7040,we have been advised to turn this issue over to the police due to the sexual assult thank you for allowing that on your plane _exclamation_  
7041,dispatcher keeps yelling and hung up on me _exclamation_  
7042,no other than being on my credit card statement i have not received anything from you and so i have no way to look it up myself 
7043,that is great _exclamation_ plus let me know when u start _exclamation_  
7044,i love very much your planes can you please follow me back _questionmark_ it is an amazing bussines _exclamation_  
7045,i am impressed with your super fast reply to 
7046,we just want to go home tonight why did you cancelled flight the last leg of our reserve i out our permission _questionmark_ _exclamation_  
7047,yes but lost a whole day frustrating _exclamation_ _exclamation_ customer service 
7048,thanks that was done i just don i understand why those whose bags couldn i fit are not notified in air at landing 
7049,thanks is there a bereavement discount anymore or not should i just book online 
7050,never felt better taken care of _exclamation_ indian aunties are the gold standard thanks aruna _exclamation_  
7051,the last  times i have arrived our gate has been blocked by a slow to depart plane leading to   min delays 
7052,just lost very loyal customers who use them   times a year 
7053,any idea on what the wait time is for refunds from i was told a few days over the phone but it is well past that 
7054,wifi on my plane but i gotta pay for it _questionmark_ help your broke homegirl out:airplane: :mobile_phone: 
7055,same here would appreciate a follow so i can do my info to figure out what i am supposed to do 
7056,: she means to say there has been so many complaints today this week this month that she can not respond i i she is alone 
7057,here i to sitting on hold for  his flight cancelled lighted and they disconnect twice 
7058,these birds could fly to south america for example 
7059,we got our bags today thanks _exclamation_  
7060,i am going to keep these tweets coming till a does something which i know is nothing hoping i go way not likely 
7061,no not yet waiting to be connected to an agent 
7062,thank u for the ihr delay then boarding us onto a plane that reeks of vomit flight attendant indicated it wasn i cleaned properly 
7063,look out for flying rocks this time _exclamation_ it is a bird it is a plane _exclamation_ nah never mind it is just a rock 
7064,me again _exclamation_ i was just trying to rebook fare on wanna get away pricing and it disappeared in time i refreshed is this normal _questionmark_  
7065, from ric  from ord amp  from den all delayed for non weather issues way to go youre batting   _exclamation_ but no hotels 
7066,been sitting at gate for over  min on us  _exclamation_ what gives _questionmark_  
7067,where is my bag _questionmark_ _exclamation_ _questionmark_ _exclamation_ _questionmark_ _exclamation_  
7068,thank you for the robotic and non helpful assistance 
7069,missing crew passenger doc problems frozen toilets and now we are off the plane give me my money back  
7070,not too impressed with your airlines but i would feel a lot better flying with if you upgraded me up to first class tomorrow 
7071,why couldn i you have changed the tire of my delayed  flight when it arrived instead of waiting until boarding _questionmark_  
7072,cool shot of the moon and one of your fleet 
7073,just to follow up here is my experience: 
7074,a phone call or email when you cancelled flight a flight would be lovely 
7075,ah that would explain why crew did not seem particularly distressed when we pointed it out it was a little startling at first 
7076,searched for mileage tickets to bom couldn i find a single one is saver awards i see how you play earn miles but can not use them 
7077,tried to rebook online but it says that i have to pay  for difference in price please help 
7078,airport snow removal method keep up the good work folks this is where cessna i become  i _exclamation_  
7079,if my flight i been cancelled lighted and i can not reach anyone over the phone or ticketing agents safe to assume i wasn i rebooked _questionmark_  
7080,why don i you take care of flight screw ups 
7081,if i qualify for free est checked bag is that applied at checkin _questionmark_ same for using companion tickets _questionmark_  
7082,don i think you guys could mess things up any more never flying with you again _exclamation_  
7083,why not just take her info in the beginning and if cut off call back _questionmark_ we do that in my medical practice we are frequent flyers : 
7084,hey _exclamation_ check it out _exclamation_ _exclamation_ it is snowing in boston who could have predicted such a thing _questionmark_ _exclamation_  
7085,ur specialist said they would talk to the stewardess about not serving drunks drinks really how does that help 
7086,attendants at the gate enjoyed watching the other flight to our destination take off before having a horrible attendant give us 
7087,waiting at hen on plane more than an hour since landing i i of no gate please get us off this plane _exclamation_  
7088,not even on the bag status will take actions against this company is incredible how irresponsible are with the costumer 
7089,did you pick the winners for the flight 
7090,all correct for rates boston to pittsburgh wind march  _questionmark_ rates all of a sudden took off _exclamation_ made plans came back to buy amp surprised 
7091,thank you _exclamation_ _exclamation_ miss you all so so much _exclamation_ _exclamation_ is this the link to the blog _questionmark_ or has that changed _questionmark_  
7092,i spoke with a representative that offered no solution i am a loyal customer who flies on as well 
7093,how do you manage to place a family of  into a plain with none of them sitting next to each other one of them being a yr old 
7094,a little surprised my early bird got me be from den to ke just now worst i have had what i up _questionmark_  
7095,your hold music needs  be fixed:certain tracks have loud phone button mashing tones in them estimated wait time would help  
7096,got rebooked through the a online app 
7097,cancelled fighting flights due to winter weather is totally understandable but it would sure be nice if you would answer your phones 
7098,next day 
7099,did not get names dallas flight and chicago 
7100,yea they been booked on  next availible flights since sat am and when time comes no plane and day of work missed 
7101,thanx for replying do sent 
7102,not happy _exclamation_ _exclamation_ trying to get home on cancelled lighted flight amp been on hold for  hours help _exclamation_ _exclamation_ this is just crazy 
7103,want to explain why i was on hold for  his tonight trying to reach customer service only to learn they re only there mon for _questionmark_  
7104,held up for almost  minutes and then promised free movies and it did not work and neither did the wifi that was paid for boo : 
7105,help im falling out of one of your planes 
7106,can i book award travel on etched with dividend miles _questionmark_  
7107,backlog is an hour at most this is over two _exclamation_ unacceptable _exclamation_ _exclamation_  
7108,well that is a problem considering i need to book a flight tonight for this weekend is there anything you can do _questionmark_  
7109,not sure why we are still here in dallas plane has been at gate for  min no update at all flight  poor service 
7110,cond i am being told that i am asking for a refund on a used ticket on a flight that got cancelled lighted how is the ticket used _questionmark_  
7111,and despite tailwind will still be late flight 
7112,how comes no one has answered my calls or emails _questionmark_  
7113,is that supposed to change in the near future _questionmark_  
7114,is screwing with my flights again at cae _questionmark_ why do you bother having flights here if they never leave on time or get cancelled lighted _questionmark_  
7115,we already won the tickets but she is totally on a beach right now 
7116, thousand fans of are asking you to give her your utmost effort to get her a safe flight with her baggage soon _exclamation_  
7117,flight delayed from pos mia missed mia atl need seat on last flight to atl 
7118,how about more@blacklist too _exclamation_ _exclamation_  
7119,this is how concerned your gate attendants at can are this afternoon 
7120,i want my bag off flight  what do i do now _questionmark_  
7121,origin destination dates are the same going from us airways connecting flight to a direct flight award is saver level 
7122,hey guys _exclamation_ thanks for answering me and thanks for keeping me on hold for an hour on customer service at  am put _exclamation_  
7123,fantastic thanks _exclamation_ will try and tweet a photo of the view : 
7124,success _exclamation_ good work jetblue team 
7125,when can i book my flight to hawaii _questionmark_  
7126,was no one between the scan and inside the plane i just asked the people in line around me where the plane was going 
7127,if i rebook on another airline after my flight was cancelled lighted do you reimburse _questionmark_ i need to get home today not tuesday 
7128,my flight has been cancelled lighted on hold for  his to reschedule need help now taking way too long 
7129,i have almost  million miles i u so i am loyal to u when i u going to reciprocate _questionmark_ what a joke 
7130,rude cust ser agents busy chatting then yelled be i took pic put me stay when seat diff agent gave me seat min late flight platinum 
7131,routing a person from houston to newark no and then to so is not acceptable 
7132,you have got to be kidding me _exclamation_ no info on  from dna to bar and your phone line tells me to call back late flight _questionmark_  
7133,status of flight  from mo to lga tomorrow _questionmark_  
7134,and gold status too 
7135,i can not get an operator after an hour i worth of calls to cancelled flight a delayed flight automated system doesn i go beyond message 
7136,thanks for the terrible service _exclamation_ stranded in mow for  days amp now can not find confirmation for rebooked flight from me 
7137,your website has now reverted my est flight to only a  minute delay but it is changed so is that reliable information _questionmark_  
7138,check out our est grader i school science fair project she loves flying on southwest airlines 
7139,when you re on hold with southwest for over  hours and it automatically hangs up on you 
7140,yes thank you appreciate u checking 
7141,premier gold desk changes flight waives fees gives me wrong flight now jana acosta in salt lake refuses the same service angry 
7142,check in and it is still saying i haven i paid i have called back twice was on hold for  minutes then they answered and hung up i 
7143,what happens when you combine top chef amp the beauty of san miguel de alleged my late flights food blog 
7144,please tell cut flight  needs a gate waiting now for  mins 
7145,after all the plane didn't land in identical or worse conditions at ark according to meters 
7146,i need to request a refund on my flight that was cancelled lighted this morning due to the weather 
7147,can you get me to ok from sacramento today dew is now closed 
7148,really fill out a form about my flight experience _questionmark_ i sent an email to the ok email address 
7149,thank you 
7150,great thank you best of luck dealing with this horrible winter 
7151,forgot to select my kill on my flight to la and it is a few minutes under the  hour mark is there any way to change it _questionmark_  
7152,armand  hours late flight won i be catching a flight til am stuck in at airport in a snowstorm with no hotel how i that for patience _questionmark_  
7153,hahahahaha ya tried that already 
7154,is changing its program: winners and losers 
7155,you just directed me to your mobile website where is the direct link _questionmark_ get it together _exclamation_  
7156,why are you the only airline that is not flying out of dna today _questionmark_  
7157,depart from where _questionmark_ it departed pox and was due to land at dna around up 
7158,is giving us free movies because apparently the dunking donuts coffee is a safety hazard 
7159,i know i can see that too but now estimated time of dep is am i don i understand why there wasn i a better estimate  his ago 
7160,i really down think downgrading the booze food selections at the club is a good way to go how about you look 
7161,next up: enforcing your boarding procedure 
7162,based on suggestions from other passengers i have a rental car on standby for 11:30 one way or another will be leaving then 
7163,has i i thinking about summer with new nantucket service digital journal 
7164,she also appreciated having her very own hashtag _exclamation_ : 
7165,i'll play it by ear i know that you are doing your best buy some chewed oatmeal cookies for your customer care folks 
7166,monday evening 
7167,please fix the very unproductive check in process at  check in stations and  people working them what a total mess _exclamation_ _exclamation_ _exclamation_ _exclamation_  
7168,beautiful ride thanks again: 
7169,drop me a follow i need help 
7170,i tried site amp doesnt allow me same reason why i wasn i allowed to board this morning will try diff airline for work trips 
7171,great commercial _exclamation_ the _exclamation_  
7172,having trouble flight booking problems a seat on us  march operated by a neither airline i website will allow seat selection _questionmark_  
7173,safety first 
7174,easy and pleasant difficult and stressful learned my lesson 
7175,flight  lax iad back rows not cleaned prior to boarding how gross is that to find used tissues in your seat _questionmark_ please 
7176,well i am flying instead for free _exclamation_ their credits actually work 
7177,lol i am sorry i am just seeing this now but lauren oh my god ahah 
7178,received email i rest i to my email that isn i associated to swa account i own with ca info for my sister please do me 
7179,i usually do but i did not make the flight booking problems this time that all teach me _exclamation_ yea i have that going for me at least haha 
7180,don i apologize do something about it words mean nothing actions work mom 
7181,stop ur is promos of :airplane:anywhere starting at  i click and everywhere i i fly  the only place thats  is cle 
7182,you re really going to let and get the best of you _questionmark_  
7183,have your experts seen this _questionmark_ this is right at du airport 
7184,is there a way to get a copy of feb i edition of hemisphere magazine with out flying _questionmark_  
7185,it can not be delivered it has to be held there for me to cross the border to pick up please don i try to deliver 
7186,wif is going on with the 1:30 from do to bos _questionmark_ twice we go back back to the gate after leaving for the runway _questionmark_ total is 
7187,done and done 
7188,thank you _exclamation_ _exclamation_ _exclamation_  
7189,my flight was cancelled lighted yesterday and moved to today then while at my stop in do my flight is delayed due to lack of crew  
7190,pay for a cab back to the airport to show baggage dept my wet shirts and suit is not a viable option and time this has happened _exclamation_ _exclamation_  
7191,how many are left _questionmark_ _exclamation_  
7192,adding reservation to ios app doesn i show up on desktop site when logged in and miles can not be redeemed for upgrades thru your app 
7193,you failed that is the answer please don i justify otherwise 
7194,landed an hour late flight from ind to den and  min late flight our bags are not here not cool 
7195,also my party me and my sister and mom are on three separate reservations will tsa lets us go through together or alone 
7196,please just tweet this:folded_hands: :folded_hands: :red_heart: i fly jetblue every time btw:smirking_face: 
7197,i need to change a ticket and my res can not be changed online i also can not get a call through due to high volume can u help _questionmark_  
7198,do you still have flat tire policy shuttle broke down on way to ord will probably miss the  to cle help please _exclamation_ _exclamation_  
7199,must be nice to take your customer service phone off the hook _exclamation_  
7200,why are you the only airlines to cancelled flight all flights into dna _questionmark_ been stranded in philly for  days hoping to get out in the am 
7201,back for the expensive holiday he worked all year to pay for that you ruined _exclamation_ we want compensation amp his original case back _exclamation_  
7202,yes i was everything worked out great 
7203,thanks for remembering to load my bag onto my connecting flight oh wait you forgot iceland should be fun with no clothes 
7204,any site gmail facebook etc 
7205,please can i have the last tickets for me and my best friend to 
7206,yes fyi my off 
7207,cannot add my frequent flyer number on your website can you help _questionmark_  
7208,do you operate any flights without maintenance issues _questionmark_ flights in out of dna cancelled lighted this is getting old update fleet plus _exclamation_  
7209,every crew member i dealt with in orlando was incredibly rude i am actually pretty disgusted with jetblue right now 
7210,i new is garbage just had to cry to get attendant to find a place for my medical supplies with limited overhead 
7211,well now finally on board hopefully we take off this time and quickly well over an hour delay _exclamation_ _exclamation_  
7212,another great flight thanks for showing my dad wonderful customer service 
7213,real shit my nigga north don i play around _exclamation_  
7214,there is an employee at gate  of jak telling people their bag doesn i fit and needs to be checked when it clearly fits 
7215,cost me over  dollars because flight was cancelled lighted and couldn i even give me a food comp _exclamation_ _exclamation_ fly they take 
7216,any idea when the winter advisory will be posted for atl for tomorrow   i i rather get to pal tonight 
7217,that doesn i really answer my question maybe if i provide more details you can give me clarification 
7218,flight  why do multiple tracking sites have more up to date info than swa i app and website _questionmark_  
7219,yep as i saidi feel sorry for you that you have to run their account how embarrassing for you 
7220,okay thank you : also i did get a tweet earlier about   his ago saying i won amp should send a do but then it was deleted _questionmark_  
7221,spent hour trying to check after to use military id for luggage then messed up boarding pass amp forced into line again 
7222,i have someone driving me it is best to get a wheelchair once i get inside _questionmark_  
7223,at what it do u just cancelled flight _exclamation_ finally got standby  up flight what a day _exclamation_  
7224,flying southwest for the first time to lga with a layover in atlanta _exclamation_  
7225,hi can you please tell me why today i flights from chicago to dia were cancelled lighted _questionmark_ thanks _exclamation_  
7226,that guy was the flight attendant on my last flight he was hilarious _exclamation_ :smiling_face: 
7227,understand you can only do so much but often it seems like a quick request to the desk is all it takes no questions asked 
7228,i appreciate your apology sincerely thank you that is really all i ever wanted to begin with 
7229,yes party is over :face_with_tears_of_joy: 
7230,is hiring flight dispatcher chicago il network operations center 
7231,gate attendant at scarran can vegas to dallas went above and beyond after a long day of frustration it was welcome 
7232,it was this one but looks like the problem is now fixed 
7233,my flight was cancelled lighted saturday why was my luggage not at the airport _questionmark_ today i am supposed to have it delivered pathetic 
7234,i bein calling jetblue no respond i leave my number no call back i think jetblue is loosing a customer 
7235,its a wonderful thing _exclamation_  
7236,narrowly made standby lots of snags this trip _exclamation_  
7237,can you follow and we all proceed _questionmark_  
7238,love you guys but plus get some direct routes las to aus _exclamation_  
7239,why doesn i your terminal i in lga have pre check _questionmark_ makes me want to never fly your airline 
7240,my sil bought tix for us to ny we were told at the gate that her ca was declined supervisor accused us of illegal activity 
7241,can someone help me set up a callback today _questionmark_  
7242,what do you think missing meetings is worth _questionmark_ a flight voucher _questionmark_ i fly all the time so what would make it right _questionmark_  
7243,booked ear all in first for two on   let is see how you compare to the garbage first class has become 
7244,thanks _exclamation_  
7245,no after  mins of hold i finally hung up _exclamation_ ridiculous wait times can you assist in cancelled fighting reservation _questionmark_  
7246,can you help me reroute my trip _questionmark_  
7247,give her the recognition she deserves _exclamation_  
7248,they helped me at the baggage service desk said be tsa screening was down in all not all bags made it but bag will be in ear  
7249,my mom wanted me to change her seat along with my sister but their two different reservations and ink 
7250,no told to call cust service on monday 
7251,yes however the seats they assign us that day are never together i just want to sit with my husband _exclamation_ why is that impossible _questionmark_  
7252,really est felt from iad  ah is late flight amp going via nashville _questionmark_ downgraded but not on ticket 
7253,has the worst flights and customer service this is the second time i have been cancelled lighted gotta pay for hotel and find rides now 
7254,won i let me send a do because they don i follow me 
7255,and a complete lack of faith in your companies it is really a shame that you think telling me it is been a challenging 
7256,i consider myself a loyal customer to the brand but i am astounded at the lack of concern about customer i flying experiences 
7257,help our fleet is on fleek 
7258,do sent 
7259, from pal to bum i cannot believe this has happened ex in under two weeks _exclamation_  
7260,i am hoping we don i miss our lax ito connection not looking forward to being stuck at lax overnight with our team again _exclamation_  
7261,sat on a plane for  his on   _exclamation_ then we finally took off : 
7262,can i add miles from my january air china flight to my mileageplus account _questionmark_  
7263,are you expecting delays cancelled flightlations at dallas on  with due to the snow _questionmark_ nothing like monday i hope _exclamation_  
7264,wants customs at long beach airport for future international flights by cc: 
7265,you should be more timely with bags that missed a flight people need their undies the next morning _exclamation_  
7266,you guys suck _exclamation_ another cancelled lighted flight _exclamation_ every flight with you has an issue _exclamation_  
7267,can someone please answer my call i have been waaaaaaiting _exclamation_ _exclamation_ _exclamation_  
7268,i am trying to book awards for september and need flights on but they will not show even i many award seats available 
7269,   hours on hold to customer service without anyone answering is more than ridiculous _exclamation_  
7270,i got a new reservation for tomorrow thanks _exclamation_  
7271,the status on my itinerary says on request in red what i that mean _questionmark_  
7272,delayed flight six hours missed international connection extra night in a hotel and still have to pay for a bulb surfboardbag 
7273,waiting for flight  to memphis incredibly rude gate agent waited until after departure time to announce delay  of  
7274,yes about an hour after landing 
7275,your overall experience of flying is not friendly 
7276,first time flying with united also last time back to for me 
7277,thanks for making me check my bag when the space was empty and to the flight attendant for the dirty look 
7278,flight  dallas to grand junction 
7279,please follow me 
7280,rude gate agent by  ord lga just now seems to have a temper made me check in a bag that fit inside the size 
7281,the lack of customer service is astounding 
7282,might possibly be the worst airline ever _exclamation_ i think it is time to brush up on customer service _exclamation_  
7283,how do i get through to finally board ua  _questionmark_  
7284,is the greatest airline ever :two_hearts: :airplane: :seat: 
7285,wishing we had our luggage  days now had to pay our way from it thomas to san juan spent extra because of this mess up 
7286,yes though they have not located the bag yet it was a lovely flight outside of that 
7287,trying to get to mexico in september _exclamation_ how about affordable nonstop flights _questionmark_  
7288,do you have special fares for students to visit prospective schools _questionmark_ it is expensive to visit graduate programs 
7289,if u miss first leg of ur flight you have to pay hundreds of i just to keep your second leg _questionmark_ how much to keep my earned miles _questionmark_  
7290,if i had my tux it i be a date _exclamation_  
7291,do does not work what do i do _questionmark_  
7292,i have flown with you  times in the last  days  out of  flights have been delayed huge mistake on my part don i fly united 
7293,alright i hope my jetblue app is showing a change in my seats and online shows an  don i want any surprises 
7294,please confirm  from cid dew at 11:30 departure will be is cancelled lighted don i want to make the hour drive _exclamation_  
7295,thanks for the drink tickets hook up _exclamation_ can not wait for my first international flight with you to nas _exclamation_  
7296,i interviewed yesterday as a flight attendant i was the last person the recruiter said they lost my file i came back to interview me 
7297,says is the final carrier us air doesnt have it i want my bag _exclamation_ _exclamation_ _exclamation_ not a claim not an im sorry i want my clothes _exclamation_ _exclamation_  
7298,why am i still in baltimore _questionmark_ _exclamation_ is doing laps around us and laughing about it ridiculous 
7299,nah just horrible dining options outside of club luckily manuel in the admirals can make a bloody mary 
7300,now you ve cancelled lighted my flight first a priority ticket bumped and now this you re losing customers people are furious 
7301,time to give up my ok status and switch to you are so terrible i can not even describe 
7302,i i like the doc i originally tried for again happy to pay the difference 
7303,done thne 
7304,can you equip a  with flamethrowers and a snow plow _questionmark_  
7305,has no idea what they re doing delay  flight from up to 7:40pm then delay another to the same destination the same time 
7306,dropping the ball again no catering plane switch no gate attendant  hours late flight really nice 
7307,please pray for us that our gear is not lost or stolen due to your incompetent employees 
7308,baggage woman said it was in baltimore and would be on a plane this morning now they can not find it wif _exclamation_ _questionmark_  
7309,that would be appreciated just please don i send me to the same page with long form amp limited characters direct email _questionmark_  
7310,flight cancelled lighted stuck for  days paid for a boarding refused to honor it with rescheduled flight 
7311,cancelled lighted  such departure 8:38 am wasn i snowing yet and other flights were still leaving 
7312,thank you but i don't understand what will you do with my feedback _questionmark_  
7313,i i rather spend two days in the back seat of a volkswagen than two hours on your plane _exclamation_  
7314,i forgot my password and i don i know if my username is correct and i want to use my miles what i have to do _questionmark_  
7315,i have been trying all week to book a multi city award trip can i book online i am told to call back some other time what _questionmark_ _exclamation_ _questionmark_  
7316,why is my  flight listed on time when its  and i am not on the plane yet _questionmark_  
7317,we are off to tax premium hoping this flight is better food to now i know how to work it and service tax 
7318,thanks for gate checking my baggage on your full flight dew lax  and giving me early boarding too 
7319,congrats you just got all my business from ear to so lax fuck you  so ear was the clincher 
7320,absolutely worst experience of my life at pal  his  failed departure  gates and zero communication or help _exclamation_ _exclamation_  
7321,work would be much better with my lesson plans and music for my classes today 
7322,at could not be worse i get the bad weather but this is awful 
7323,three hour delay from miami to london none of the other flights today are delayed put me on another flight _exclamation_  
7324, and  year old flying to tokyo for vacation both with bad knees and this happens 
7325,no one has answers no one can help there is always a different story to why my and my fiancee can not be helped 
7326,is the   bonus at  still on or did it expire    _questionmark_  
7327,what is going on _questionmark_ this is pathetic online doesn i work and phone wants  to give a seat assignment 
7328,flight was scheduled for 11:56 it is 1:05 and we haven i moved i have never been on a flight where everyone moved without a sense 
7329,gorgeous day hope the flight back tomorrow am is just as pleasant _exclamation_ thanks 
7330,worse experience cut to do oversold by  lost carry on luggage cancelled lighted connecting flight to ny 
7331,will do i i think though that a literally identical itinerary to your sample itineraries would work maybe need to update _questionmark_  
7332,no u don i 
7333,has no customer service via phone or in person just a stone wall with a giant middle finger painted on it 
7334,there is a lot of talks and no doing mia so on a  year old plane 
7335,you know it _exclamation_ _exclamation_  
7336,i urgently need two receipts sent but is is closed can you help _questionmark_  
7337,why do you charge so much moving from a full flight to an earlier flight with seats available _questionmark_ doesn i make sense to me 
7338,did anyone come into work today _questionmark_ u should have all the pilots and flight attendants answer phones if no one is flying 
7339,yes bags came  he after i arrived at baggage claim awful experience on the ground at bum 
7340,we i love to help chinese bryant melon a hard working grandmother from do go to miami it is on her bucket list 
7341,well we all need something to aim for 
7342, to montero bay going back to gate be person was late flight _questionmark_ awful service for all of who came on time _exclamation_ _exclamation_  
7343,vacation days: relevant ritz in or for the night:  losing a day to idiots and sleeping at the newark armada 
7344,flight was cancelled lighted can you guys help _questionmark_  
7345,already spent  to stay at hotel last night due to you guys rescheduling my flight since my cancelled flirtation i have spent almost  
7346,you think you boarded flight  too early _questionmark_ i think so 
7347,your wifi is angering me with its slowness 
7348,great then tell me how you will fix it _questionmark_  
7349,your delay is due to your own making we have now been back to the gate multiple times maybe take accountability 
7350,is friendly 
7351,welcome to north texas us air american air employees housing and education are great opportunities in the gra state of texas 
7352,yeah that is all been done define incidentals how much can i spend on gear so this trip is not a waste _questionmark_  
7353,that is not an option for us so how can we help each other fix this _questionmark_ i would ve made the change earlier if given accurate info 
7354,cool thank you 
7355,i shouldn i have to spend my own on a hotel because of a weather delay the weather being something completely out of my control 
